Id,MPEG-1,MPEG-2,MPEG-4,QuickTime,RealMedia,Year,Genre,Keywords,Duration,Color,Sound,Amount of Motion,Language,Sponsor,Contributing Organization,Transcript Available,Digitization Date,Digitizing Organization
487,http://www.ibiblio.org/openvideo/video/cmu/FRM25.mpg,,,,,1984,Documentary,,00:18:38,Yes,Yes,Medium,English,Fermi National Lab - DOE,"Carnegie Mellon University, Informedia Project",No,1997,Carnegie Mellon University Informedia Project
488,http://www.ibiblio.org/openvideo/video/cmu/FRM24.mpg,,,,,1985,Documentary,,00:25:29,Yes,Yes,Medium,English,Fermi National Lab - DOE,"Carnegie Mellon University, Informedia Project",No,1997,Carnegie Mellon University Informedia Project
489,http://www.ibiblio.org/openvideo/video/cmu/BOR19.mpg,,,,,1986,Documentary,,00:11:17,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",No,1997,Carnegie Mellon University Informedia Project
490,http://www.ibiblio.org/openvideo/video/cmu/BOR17.mpg,,,,,1997,Documentary,Construction;Dam,00:27:42,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",No,1997,Carnegie Mellon University Informedia Project
491,http://www.ibiblio.org/openvideo/video/cmu/BOR14.mpg,,,,,1987,Documentary,,00:11:32,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",No,1997,Carnegie Mellon University Informedia Project
492,http://www.ibiblio.org/openvideo/video/cmu/BOR11.mpg,,,,,1997,Documentary,,00:14:03,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",No,1997,Carnegie Mellon University Informedia Project
493,http://www.ibiblio.org/openvideo/video/cmu/BOR12.mpg,,,,,1986,Documentary,,00:13:39,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",No,1997,Carnegie Mellon University Informedia Project
494,http://www.ibiblio.org/openvideo/video/cmu/BOR10.mpg,,,,,1990,Documentary,,00:16:44,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",No,1997,Carnegie Mellon University Informedia Project
495,http://www.ibiblio.org/openvideo/video/cmu/BOR09.mpg,,,,,1991,Documentary,,00:14:10,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",No,1997,Carnegie Mellon University Informedia Project
496,http://www.ibiblio.org/openvideo/video/cmu/BOR08.mpg,,,,,1996,Documentary,,00:28:07,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",No,1997,Carnegie Mellon University Informedia Project
